Р“СЂСѓРїРїР°.РљРѕРґ;РћС‚РґРµР».РљРѕРґ;РўРѕРІР°СЂ.РљРѕРґ;Р”Р°С‚Р°;Р§Р°СЃ;РљРѕР»РёС‡РµСЃС‚РІРѕ | РЎСѓРјРјР°;РЎСѓРјРјР° | РЎСѓРјРјР°
33;1;828;04.12.2008;11;2;169.46
33;1;828;04.12.2008;12;1;84.73
33;1;828;05.12.2008;13;1;84.73
33;1;828;08.12.2008;12;2;169.46
33;1;828;15.12.2008;18;1;82
33;1;828;18.12.2008;13;1;82
33;1;828;22.12.2008;17;1;82
33;1;828;22.12.2008;20;1;82
33;1;828;26.12.2008;17;1;82
33;1;828;03.01.2009;10;1;82
33;1;828;05.01.2009;11;2;163.99
33;1;828;06.01.2009;12;1;82
33;1;828;08.01.2009;10;1;82
33;1;828;08.01.2009;11;1;84.73
33;1;828;08.01.2009;16;1;84.73
33;1;828;10.01.2009;10;1;84.73
33;1;828;10.01.2009;15;1;84.73
33;1;828;15.01.2009;17;2;169.46
33;1;828;16.01.2009;12;1;84.73
33;1;828;19.01.2009;18;1;84.73
33;1;828;19.01.2009;19;1;84.73
33;1;828;30.01.2009;11;1;84.73
33;1;828;06.02.2009;15;6;495.96
33;1;828;23.02.2009;13;4;330.64
33;1;828;25.02.2009;14;3;247.98
33;1;828;26.02.2009;12;1;82.66
33;1;844;20.01.2009;15;1;57.6
33;1;844;01.03.2009;20;1;57.6
33;1;849;02.01.2009;18;1;118.68
33;1;849;25.01.2009;13;2;243.52
33;1;849;14.02.2009;11;1;123.32
33;1;849;14.02.2009;12;2;246.64
33;1;1145;18.12.2008;11;1;628.8
33;1;1145;08.01.2009;12;1;628.8
33;1;1145;12.01.2009;16;2;1257.59
33;1;1145;29.01.2009;16;1;628.8
33;1;1145;29.01.2009;18;1;628.8
33;1;1145;03.02.2009;18;1;631.23
33;1;1145;07.02.2009;13;1;631.23
33;1;1145;08.02.2009;12;1;631.23
33;1;1148;20.01.2009;14;1;934.75
33;1;1148;06.02.2009;17;1;922.84
33;1;1151;14.12.2008;13;1;429.97
33;1;1151;17.12.2008;12;1;429.97
33;1;1151;23.12.2008;11;1;429.97
33;1;1151;06.01.2009;17;1;429.97
33;1;1151;10.01.2009;14;1;429.97
33;1;1151;13.01.2009;13;1;429.97
33;1;1151;20.01.2009;12;1;429.97
33;1;1151;02.02.2009;14;1;429.97
33;1;1151;06.02.2009;13;1;429.97
33;1;1151;11.02.2009;15;1;429.97
33;1;1151;14.02.2009;11;1;431.73
33;1;1151;15.02.2009;19;1;431.73
33;1;1151;27.02.2009;11;1;427.63
33;1;20539;20.12.2008;20;1;271.26
33;1;20539;27.12.2008;11;1;276.41
33;1;20539;28.12.2008;19;1;271.26
33;1;20539;18.01.2009;11;1;276.41
33;1;20539;24.01.2009;14;1;276.41
33;1;20539;02.02.2009;11;1;276.41
33;1;20539;11.02.2009;11;1;276.41
33;1;20539;13.02.2009;16;1;276.41
33;1;20539;18.02.2009;19;1;280
33;1;20539;21.02.2009;17;1;275.11
33;1;24061;13.12.2008;17;1;285.29
33;1;24061;13.12.2008;18;1;288.5
33;1;24061;17.12.2008;14;1;287.98
33;1;24061;23.12.2008;16;1;281.58
33;1;24061;31.12.2008;14;1;281.58
33;1;24061;10.01.2009;12;1;287.98
33;1;24061;13.01.2009;17;1;287.98
33;1;24061;11.02.2009;17;1;284.1
33;1;24061;15.02.2009;14;1;284.1
33;1;24061;15.02.2009;19;1;284.1
33;1;24061;24.02.2009;14;1;298.64
33;1;24061;25.02.2009;18;1;298.64
33;1;24061;28.02.2009;11;1;298.64
33;1;24061;31.12.2010;14;1;281.58
33;1;24909;12.12.2008;15;1;52.44
33;1;24909;31.01.2009;18;1;52.44
33;1;24909;07.02.2009;14;2;104.87
33;1;24909;18.02.2009;17;4;213.56
33;1;24909;24.02.2009;18;1;53.39
33;1;24910;04.12.2008;13;2;110.49
33;1;24910;05.12.2008;11;3;164.56
33;1;24910;12.12.2008;15;3;165.34
33;1;24910;14.12.2008;9;1;58.01
33;1;24910;29.12.2008;12;1;52.65
33;1;24910;30.12.2008;12;3;157.95
33;1;24910;20.01.2009;14;1;52.65
33;1;24910;05.02.2009;10;1;53.45
33;1;24910;07.02.2009;14;1;53.45
33;1;24910;08.02.2009;18;2;109.32
33;1;24910;18.02.2009;17;3;164.62
33;1;24910;25.02.2009;18;1;54.87
33;1;25191;04.12.2008;18;1;261.26
33;1;25191;05.12.2008;9;1;261.26
33;1;25191;21.12.2008;12;1;261.26
33;1;25191;06.01.2009;13;1;271.69
33;1;25191;08.01.2009;14;1;261.26
33;1;25191;15.01.2009;11;2;522.52
33;1;25191;16.01.2009;13;1;261.26
33;1;25191;21.01.2009;16;1;271.69
33;1;25191;01.02.2009;14;1;271.69
33;1;25191;02.02.2009;14;1;271.69
33;1;25191;13.02.2009;13;1;271.69
33;1;25191;13.02.2009;15;1;271.69
33;1;25191;14.02.2009;9;1;271.69
33;1;25191;14.02.2009;15;1;271.69
33;1;25191;20.02.2009;10;2;529.74
33;1;25191;26.02.2009;16;1;264.87
33;1;25191;26.02.2009;20;1;264.87
33;1;25191;01.03.2009;15;1;264.87
33;1;25192;13.12.2008;12;1;273.86
33;1;25192;18.12.2008;16;1;273.86
33;1;25192;21.12.2008;16;1;273.86
33;1;25192;27.12.2008;16;1;273.86
33;1;25192;16.02.2009;13;1;221.15
33;1;31636;08.02.2009;11;1;123.2
33;1;31636;08.02.2009;19;1;125.21
33;1;31651;14.01.2009;18;1;371.55
33;1;31651;17.02.2009;13;1;371.55
33;1;56778;30.12.2008;13;0;60.06
33;1;56778;03.01.2009;11;0;60.06
33;1;56778;03.01.2009;16;0;60.06
33;1;56778;11.01.2009;19;0;60.06
33;1;56778;17.01.2009;14;0;180.16
33;1;69350;15.02.2009;9;1;516.67
33;1;69350;22.02.2009;16;1;516.67
33;1;77073;05.01.2009;15;1;211.4
33;1;77073;12.02.2009;17;1;237.3
33;1;77073;25.02.2009;9;1;227.27
33;1;77075;03.12.2008;17;1;401.23
33;1;77075;04.01.2009;14;1;414.18
33;1;77075;15.01.2009;13;1;417.07
33;1;77075;11.02.2009;17;1;421.38
33;1;77075;13.02.2009;12;1;417.07
33;1;77075;20.02.2009;12;1;417.07
33;1;82235;02.02.2009;19;1;1105.26
33;1;82235;04.02.2009;15;1;1105.26
33;1;82235;14.02.2009;12;1;1115.4
33;1;82545;01.12.2008;19;2;556.76
33;1;82545;03.12.2008;10;2;623.65
33;1;82545;03.12.2008;14;2;623.65
33;1;82545;03.12.2008;20;1;311.82
33;1;82545;04.12.2008;10;1;311.82
33;1;82545;05.12.2008;10;1;311.82
33;1;82545;05.12.2008;12;1;311.82
33;1;82545;07.12.2008;17;1;311.82
33;1;82545;09.12.2008;19;1;311.82
33;1;82545;10.12.2008;17;1;311.82
33;1;82545;11.12.2008;14;1;311.82
33;1;82545;11.12.2008;16;1;311.82
33;1;82545;14.12.2008;17;2;623.65
33;1;82545;15.12.2008;14;1;274.74
33;1;82545;15.12.2008;15;1;274.74
33;1;82545;15.12.2008;16;1;274.74
33;1;82545;17.12.2008;14;1;274.74
33;1;82545;17.12.2008;17;1;274.74
33;1;82545;17.12.2008;19;1;274.74
33;1;82545;18.12.2008;10;1;274.74
33;1;82545;20.12.2008;11;2;549.47
33;1;82545;20.12.2008;13;1;274.74
33;1;82545;20.12.2008;14;2;549.47
